Area,Area Confidence,Perimeter,Perimeter Confidence,Compactness,Compactness Confidence,Kernel Length,Kernel Length Confidence,Kernel Width,Kernel Width Confidence,Asymmetry Coefficient,Asymmetry Coefficient Confidence,Kernel Groove Length,Kernel Groove Length Confidence,Wheat Variety
15.26,67.44550697237632,14.84,96.00788169648591,0.871,49.23615003273362,5.763,28.375240579198934,3.312,68.0690553975496,2.221,65.35567045078392,5.22,14.821622214901996,1
14.88,83.77010701539643,14.57,57.12326942175455,0.8811,9.997421469778434,5.553999999999999,89.12814945011249,3.333,98.49919442923573,1.018,53.675398288086654,4.956,10.788676443678503,1
14.29,93.21874718936273,14.09,17.627589520647536,0.905,18.676126036778584,5.291,59.80780012429903,3.3369999999999997,34.10728072306086,2.699,24.79157030445568,4.825,31.720096518691278,1
13.84,34.38498147908198,13.94,25.05954088773793,0.8955,5.534305281548047,5.324,86.54933191750928,3.3789999999999996,60.11389845517673,2.259,77.9477018601797,4.805,50.864075437828134,1
16.14,88.23932024664636,14.99,21.761868850658306,0.9034,59.751357155504394,5.6579999999999995,89.27933740259834,3.562,51.84298334961871,1.355,11.909343724707233,5.175,82.14808580281753,1
14.38,68.71101821536574,14.21,56.95173495977943,0.8951,88.88761233719161,5.386,42.54440773441915,3.312,2.312477768701582,2.4619999999999997,64.38881683971543,4.956,99.56510837481632,1
14.69,48.4498722612494,14.49,75.77501146664368,0.8799,21.65577909596218,5.563,67.56003377375025,3.259,32.98344116436186,3.5860000000000003,38.69873142964045,5.218999999999999,85.18696819228958,1
14.11,98.55082298257977,14.1,5.213322114218643,0.8911,3.4713435876819743,5.42,54.44763147281303,3.302,13.944117809385492,2.7,55.996254156970174,5.0,60.88375998175497,1
16.63,23.464043487103847,15.46,68.16364556074682,0.8747,70.39235944191829,6.053,94.47352378727902,3.465,25.08216790751341,2.04,64.14363444969298,5.877000000000001,3.7601900927306087,1
16.44,72.54651862412724,15.25,71.71532633675108,0.888,81.49105587896851,5.8839999999999995,79.8160742835389,3.505,76.99809830135035,1.969,47.89235297216439,5.5329999999999995,6.3464490827540025,1
15.26,8.46802304164842,14.85,34.79815079568077,0.8696,96.41215867338897,5.7139999999999995,72.5818500464358,3.242,68.12025798410788,4.543,97.80941122656857,5.314,63.07360771793745,1
14.03,16.969414179438758,14.16,51.50558042933419,0.8796,61.31789568237019,5.438,81.40323746264131,3.201,4.102292915434891,1.7169999999999999,23.919305039462202,5.001,81.98823093654813,1
13.89,91.09877835080678,14.02,16.479815203117486,0.888,34.244316565189635,5.439,99.81599522851606,3.199,7.73751220987744,3.986,1.2168333089732086,4.738,26.551240499762983,1
13.78,21.296819499142416,14.06,72.98961504869986,0.8759,83.78686180306556,5.479,25.656118547402606,3.156,72.49292209653437,3.136,95.52579884177682,4.872,96.92190095562403,1
13.74,75.91161827164402,14.05,4.070868733654887,0.8744,11.806710521312224,5.482,20.136363065451267,3.114,10.320969894518072,2.932,31.200772126338883,4.825,55.03873026658288,1
14.59,60.02088301322496,14.28,98.1221058148159,0.8993,69.26369381896266,5.351,74.67828134595477,3.333,31.70199859809295,4.185,27.807257863087496,4.781000000000001,57.3771199478443,1
13.99,84.1132195705855,13.83,80.79437334476704,0.9183,9.52308492516365,5.119,77.03325106256943,3.383,26.933762825747554,5.234,41.55590472124376,4.781000000000001,61.862191620082044,1
15.69,36.810799940564905,14.75,62.844850198214075,0.9058,39.97057470173988,5.527,51.428379771166966,3.514,4.976651342031979,1.599,59.496673295796946,5.046,7.491419992300219,1
14.7,34.0285235001988,14.21,26.75262446471117,0.9153,49.502288140217885,5.205,48.70758136839637,3.466,3.1169973897321013,1.767,98.61145657425004,4.649,17.038813907205697,1
12.72,29.121528741113465,13.57,91.28628900924319,0.8686,37.7894273032341,5.226,40.37430704820498,3.049,13.903478477717801,4.102,70.75246857607628,4.914,93.61922960907023,1
14.16,86.74198235869028,14.4,95.94388378770715,0.8584,16.85975788044797,5.6579999999999995,88.26969303940861,3.1289999999999996,39.932722875518486,3.072,31.832021303921444,5.176,26.729521463660934,1
14.11,60.398252889171125,14.26,13.912615902147095,0.8722,23.17173126022275,5.52,79.6231877641984,3.168,93.37057301405899,2.688,53.46882763244379,5.218999999999999,8.329304401782133,1
15.88,95.430745717219,14.9,77.57572503157157,0.8988,82.01499974998944,5.617999999999999,58.45975982069754,3.5069999999999997,63.837812610940816,0.7651,44.86854969865212,5.091,28.242893927421598,1
12.08,88.72651047169627,13.23,84.19308585435238,0.8664,46.257580479248986,5.099,4.01190843569209,2.9360000000000004,24.206099729136575,1.415,50.15871137607441,4.961,72.61461812340448,1
15.01,13.534597739545296,14.76,65.97173563139826,0.8657,57.99327447235099,5.789,85.11415942600506,3.245,67.96441847743212,1.791,41.76081981794526,5.001,26.280857052543404,1
16.19,55.11704740692165,15.16,70.04077664167305,0.8849,21.190701761615948,5.832999999999999,45.84536776423547,3.4210000000000003,27.363318955870596,0.903,16.761786266328336,5.307,21.05816684575813,1
13.02,10.427499801461359,13.76,44.50587321145116,0.8641,71.49350587865332,5.395,18.97605282107142,3.0260000000000002,51.5238016010762,3.373,39.5484065253623,4.825,27.712940217334403,1
12.74,3.913779859691058,13.67,92.4307802624928,0.8564,33.01172591472636,5.395,29.935427528616433,2.9560000000000004,32.18276870172574,2.504,38.90890986351384,4.869,48.04216179781899,1
