Temperature,Temperature Confidence,Humidity,Humidity Confidence,Light,Light Confidence,CO2,CO2 Confidence,HumidityRatio,HumidityRatio Confidence,Occupancy
21.76,95.10512743872684,31.13333333,98.2764864437328,437.33333330000005,74.38076617495241,1029.666667,96.06892643089806,0.005021011,99.0594086774351,1
21.79,95.65865538366714,31.0,98.3917018965778,437.33333330000005,75.09753621463017,1000.0,96.12910847394159,0.005008581,99.12544447123963,1
21.7675,95.39329950135232,31.1225,98.41168766391976,434.0,74.83276533745564,1003.75,96.10675473487244,0.005021569,99.15264501371928,1
21.7675,95.38467583053675,31.1225,98.31686489383176,439.0,74.93569984730226,1009.5,96.11847192084198,0.005021569,99.08677261560537,1
21.79,95.15500266356123,31.13333333,98.51871472981398,437.33333330000005,75.1827774923132,1005.666667,96.14028909999286,0.005030298,99.23862574396912,1
21.76,94.93049765782598,31.26,98.42523628549861,437.33333330000005,74.89789455482352,1014.333333,96.11821918386264,0.005041605,99.18453286436733,1
21.79,94.71380997621571,31.1975,98.6232875903495,434.0,74.8646192489741,1018.5,96.11184946890756,0.005040749000000001,99.32446121459621,1
21.79,94.14209684464655,31.39333333,98.76133269937371,437.33333330000005,75.3153114700912,1018.666667,96.15931478000199,0.005072649,99.45544778308943,1
21.79,94.28123902782733,31.3175,98.73913595753385,434.0,74.98471142661003,1022.0,96.1264501938159,0.005060296,99.42705152372876,1
21.79,93.79233875559818,31.46333333,98.81931284481546,437.33333330000005,75.24723750172707,1027.333333,96.15535337119422,0.005084053,99.5091147386257,1
21.79,93.29642910025171,31.525,98.84765303813693,437.75,74.96140741143262,1047.75,96.134267678188,0.005094099,99.54194571849435,1
21.79,93.18532537282493,31.575,98.8252304662172,441.75,75.17216279524541,1049.0,96.15446509310411,0.005102244000000001,99.53483521496247,1
21.79,93.57051514384668,31.395,98.6266092791273,442.0,74.66365313140363,1061.5,96.10675029167311,0.005072920999999999,99.36608833160825,1
21.79,93.76428010262929,31.3925,98.64357624320729,441.75,74.8858377209064,1049.0,96.12383762762452,0.005072514,99.37604529646399,1
21.79,93.4342333144884,31.5,98.75645823404746,441.5,75.06392046643546,1048.0,96.14256933514746,0.005090026,99.4736361044473,1
