Area,Area Confidence,Perimeter,Perimeter Confidence,Compactness,Compactness Confidence,Kernel Length,Kernel Length Confidence,Kernel Width,Kernel Width Confidence,Asymmetry Coefficient,Asymmetry Coefficient Confidence,Kernel Groove Length,Kernel Groove Length Confidence
15.26,99.82645959103723,14.84,99.98570297173828,0.871,99.31931143212138,5.763,99.11690064563525,3.312,99.75604357511806,2.221,96.66653852853476,5.22,96.42369703469998
14.88,98.51869101964266,14.57,99.786646927315,0.8811,98.94084982957914,5.553999999999999,99.50162227795659,3.333,99.70192216858075,1.018,53.78717481468161,4.956,94.89794019191517
14.29,99.5388320908897,14.09,99.76277383093091,0.905,99.06536579446843,5.291,99.62540486504359,3.3369999999999997,99.55320327197308,2.699,93.42772267490935,4.825,98.32138941133141
13.84,99.07852308010658,13.94,99.95180267432012,0.8955,96.8143711081491,5.324,98.6702153023097,3.3789999999999996,96.40024145533049,2.259,97.80432565967232,4.805,99.7157549901988
16.14,98.9059564188945,14.99,99.46609179042818,0.9034,99.34257396386266,5.6579999999999995,99.86784630629482,3.562,99.30540945133149,1.355,64.57608160741461,5.175,97.4499634988038
14.38,99.80496430835272,14.21,99.81990404370603,0.8951,99.64960901624697,5.386,99.80609769472612,3.312,99.92744255957102,2.4619999999999997,97.58226989996514,4.956,98.79351966854642
14.69,99.17658232036774,14.49,99.52663409007639,0.8799,99.37600923862934,5.563,99.93981021805256,3.259,99.41774864926802,3.5860000000000003,87.47417374656182,5.218999999999999,99.22523226101781
14.11,99.85477308494887,14.1,99.93042771803825,0.8911,99.25770524598408,5.42,98.94969697413272,3.302,98.6579073663351,2.7,93.42341920817721,5.0,99.92143330613276
16.63,99.60274892569507,15.46,99.37737541256762,0.8747,99.01326668960648,6.053,98.86164908857624,3.465,98.82947012353793,2.04,85.40977590027943,5.877000000000001,98.35146677810044
16.44,99.6240023530183,15.25,99.44746597207423,0.888,99.59434977039075,5.8839999999999995,99.12835627172673,3.505,99.3401293267749,1.969,85.29210726827823,5.5329999999999995,99.39842531397028
15.26,98.82304102479468,14.85,99.2735384801224,0.8696,98.3950784894616,5.7139999999999995,99.80165973516235,3.242,97.9609744776677,4.543,86.0206707668748,5.314,96.63342993884646
14.03,99.60546742698777,14.16,99.956380174335,0.8796,99.88360017184715,5.438,99.75873927343912,3.201,99.74999368135909,1.7169999999999999,83.47997693761852,5.001,97.82766442167959
13.89,98.6148220352406,14.02,99.88613068864682,0.888,98.09559067972918,5.439,98.04456654769153,3.199,98.7356401754936,3.986,83.75178792417293,4.738,93.74440687105563
13.78,99.17614737214024,14.06,99.96102289139908,0.8759,99.29552173383063,5.479,98.48326067254858,3.156,99.52015974760003,3.136,87.16822341919733,4.872,95.63477025478159
13.74,98.97174864145443,14.05,99.97548130094853,0.8744,98.28009923311579,5.482,98.59868474937232,3.114,98.43870129005666,2.932,87.73353007831003,4.825,94.16943921782405
14.59,98.98106728666939,14.28,99.31462077246273,0.8993,98.46209247596572,5.351,99.53791637010315,3.333,98.55937280015321,4.185,85.9573247070505,4.781000000000001,95.36456137035185
13.99,99.33710085969277,13.83,99.65353838740026,0.9183,99.01531679478262,5.119,99.17766753405807,3.383,99.88137266762648,5.234,90.51914304371375,4.781000000000001,99.50747898470598
15.69,99.23743598338588,14.75,99.76655419262728,0.9058,99.85899051250654,5.527,99.40461325527707,3.514,99.77613550858642,1.599,74.91144222596105,5.046,97.53549315489393
14.7,99.24470214942794,14.21,99.63808974571957,0.9153,99.79228859171398,5.205,98.23004923586801,3.466,99.89062535617957,1.767,82.05335503627738,4.649,96.78426609846392
12.72,99.58089714021743,13.57,99.30633762144173,0.8686,99.47410452426459,5.226,99.73440574565937,3.049,99.56499507520026,4.102,90.32746107493435,4.914,99.9555197373225
14.16,99.50778721239645,14.4,99.69672089928206,0.8584,99.65919769399636,5.6579999999999995,98.88184495292796,3.1289999999999996,99.94560577956928,3.072,89.63169066860647,5.176,97.1885553774753
14.11,99.61564538547645,14.26,99.73718707900389,0.8722,99.78142585206099,5.52,99.95715022015634,3.168,99.76463251485777,2.688,95.04407890812332,5.218999999999999,99.95184767376325
15.88,98.32008140209929,14.9,99.32814040750169,0.8988,99.43790893979738,5.617999999999999,99.27126405698932,3.5069999999999997,99.74979334870055,0.7651,39.399221422224805,5.091,95.78640240578645
12.08,99.1068011973597,13.23,99.95167614418841,0.8664,99.83824479254022,5.099,98.42166171563792,2.9360000000000004,99.8282074095237,1.415,68.70406834883954,4.961,97.79554477913447
15.01,99.73582910050041,14.76,99.67711763606323,0.8657,99.96376004751656,5.789,98.38900982404736,3.245,99.38899237513876,1.791,88.1601971546266,5.001,92.14766642519037
16.19,98.95133878382022,15.16,99.11567683490301,0.8849,99.07683525753535,5.832999999999999,99.96321324130191,3.4210000000000003,98.89069256364762,0.903,46.65637712671094,5.307,94.84109988685614
13.02,99.14747665646044,13.76,99.79495355557432,0.8641,99.37821824645849,5.395,98.71044168104599,3.0260000000000002,99.3545671224332,3.373,87.66469499232356,4.825,95.71439411207301
12.74,99.57641788945563,13.67,99.99342621760519,0.8564,99.44179873049431,5.395,98.91321970776055,2.9560000000000004,99.27885214092328,2.504,96.27145052442188,4.869,96.18578219292756
14.11,99.39343649850181,14.18,99.67101658656479,0.882,99.5874549017876,5.541,98.17135563252126,3.221,99.76252550349749,2.7539999999999996,90.72642900332555,5.038,97.86777148730019
13.45,99.30303268741287,14.02,99.74334522849205,0.8604,99.8435296221731,5.516,98.80027562837896,3.065,99.88490331156217,3.531,88.07291843486522,5.0969999999999995,98.28089346087782
13.16,99.39336314054962,13.82,98.92447870487497,0.8662,97.75613192905928,5.454,99.72649189104158,2.975,97.87640974461887,0.8551,48.73547725713845,5.056,96.41606910150291
15.49,99.77937252127738,14.94,99.44405193630634,0.8724,98.64955820528604,5.757000000000001,99.21775532339237,3.3710000000000004,99.24119646667651,3.412,88.3968613822672,5.228,97.0925307938495
14.09,99.99060592612136,14.41,99.68467050142863,0.8529,96.80432533642718,5.7170000000000005,97.83891006664855,3.1860000000000004,97.08433139112505,3.92,87.69723433398295,5.2989999999999995,99.67995091730558
13.94,99.72149288770599,14.17,99.46376359377031,0.8728,99.39340484586609,5.585,98.09381273551033,3.15,99.76195160476536,2.124,98.94284273673144,5.012,96.11865133894145
15.05,99.72145492251767,14.68,99.7136792761521,0.8779,98.99031535860982,5.712000000000001,98.96765972871961,3.3280000000000003,98.82895310037692,2.129,93.37782131151444,5.36,99.97530895234476
16.12,99.84103761965082,15.0,99.6477711276639,0.9,98.94021070442889,5.709,99.98654206488777,3.485,99.58941307185604,2.27,93.69724316850653,5.443,99.55529958697933
16.2,99.62431110561808,15.27,99.35212530205206,0.8734,97.78491877657962,5.8260000000000005,99.60477432960843,3.464,98.64999825034751,2.823,98.32605951181878,5.527,99.57752510652969
17.08,99.94053030782025,15.38,99.65752205987248,0.9079,99.5715022981134,5.832000000000001,99.0786875885811,3.6830000000000003,98.92144464088778,2.9560000000000004,97.16855993328653,5.484,99.58439620526815
14.8,99.28544423825673,14.52,99.82134648208151,0.8823,99.6306865634416,5.656000000000001,98.6084926787458,3.2880000000000003,99.73724265502688,3.112,89.14224098224992,5.309,99.99280772010364
14.28,99.89398562672478,14.17,99.81978341073271,0.8944,98.97281450791908,5.397,99.95928621109555,3.298,99.28643212581709,6.685,96.48008661114146,5.001,95.41948382337382
13.54,99.3874035491702,13.85,99.81548815454353,0.8871,98.95495058444045,5.348,99.83621963293689,3.156,99.85995262892628,2.5869999999999997,96.3615509246619,5.178,97.27588733424858
13.5,99.79322877187275,13.85,99.77017000602541,0.8852,99.53670151280932,5.351,99.9080155608683,3.158,99.68877298847836,2.249,96.77832402159018,5.176,97.22209624482299
13.16,99.58301788343859,13.55,99.95811058321806,0.9009,99.11247957276332,5.138,99.87060717583371,3.201,99.99834628094067,2.461,96.73811882683786,4.783,99.3727311975905
15.5,99.10219767598868,14.86,99.4505264531681,0.882,99.45280340793524,5.877000000000001,96.89056963776159,3.3960000000000004,98.41243976804665,4.711,85.29434956435482,5.528,99.74868596050025
15.11,99.84841645537993,14.54,99.85343493883838,0.8986,98.61521813304218,5.579,98.44938093909391,3.4619999999999997,97.90621378146986,3.128,90.14983023140171,5.18,99.0511511255244
13.8,99.62758296639885,14.04,99.96232885209344,0.8794,99.19661665364879,5.376,99.24812069212349,3.155,99.01710273417862,1.56,78.26502889604687,4.961,97.58653632435505
15.36,99.12935593300305,14.76,99.33771999122976,0.8861,99.4269918820111,5.7010000000000005,99.04135603418206,3.3930000000000002,99.42953301602863,1.367,69.36514705216482,5.132000000000001,96.09060466618173
14.99,99.80849310751204,14.56,99.78362054523465,0.8883,99.21710174286645,5.57,99.45402336087629,3.377,99.03807734045483,2.958,91.95993824513631,5.175,99.80363081969212
14.79,99.69942376353707,14.52,99.59372213406404,0.8819,99.77386909798697,5.545,99.80841570258538,3.2910000000000004,99.57941102328336,2.7039999999999997,94.46206904826974,5.111000000000001,98.03506708294552
14.86,99.6194513738206,14.67,99.78415948141709,0.8676,98.89577840427725,5.678,99.96268489740591,3.258,99.39760814518446,2.129,92.149785130889,5.351,99.62528687901296
14.43,99.52038427836072,14.4,99.6270976657702,0.8751,98.81342333027523,5.585,98.75669512861435,3.272,98.79048845197605,3.975,86.47478186881048,5.144,98.82685184328447
15.78,99.09370506246005,14.91,99.70687411148245,0.8923,98.73308779975574,5.6739999999999995,99.43194639933792,3.4339999999999997,98.86291438377228,5.593,88.16742671109235,5.136,94.83996592658718
14.49,99.08667455992845,14.61,99.30061906641659,0.8538,99.59555671845847,5.715,99.81433406149691,3.113,98.93707793027514,4.1160000000000005,87.09666076136608,5.396,98.336899052323
14.33,98.87398478451709,14.28,99.83085178825326,0.8831,98.20335525245738,5.504,99.86437922238056,3.199,98.69369648004562,3.3280000000000003,88.1277192344089,5.224,99.97820082501713
14.52,99.480454709033,14.6,99.72977886961604,0.8557,99.76017305325958,5.7410000000000005,99.8981561458136,3.113,99.24775102993291,1.4809999999999999,72.19377719907402,5.487,99.13406274887673
15.03,99.84158539626033,14.77,99.7742272157668,0.8658,99.51963969310734,5.702000000000001,99.14246975600773,3.2119999999999997,98.90786943192674,1.933,86.35716889162777,5.439,99.172431837082
14.46,99.17584034732556,14.35,98.92660198922977,0.8818,96.51691545408217,5.388,98.97099838052927,3.377,97.25496745767275,2.802,97.19446927759371,5.044,98.4241190059755
14.92,98.66255592021305,14.43,99.91167312539105,0.9006,99.36623637967274,5.3839999999999995,98.14421481606414,3.412,99.52721325091392,1.1420000000000001,57.06058206101963,5.088,99.88554661430838
15.38,99.40633654082514,14.77,99.89678326526406,0.8857,98.60125277160125,5.662000000000001,99.51134605672762,3.4189999999999996,98.71660371316764,1.999,88.83503932148598,5.222,98.82487143898831
12.11,96.88563727837773,13.47,98.69573819228117,0.8392,93.59770737184263,5.159,98.8600093113984,3.032,95.52365771408526,1.5019999999999998,69.70829628812628,4.519,96.21044070871604
11.42,99.19732136622434,12.86,99.93406470212413,0.8683,98.07930210631443,5.008,99.85206725543397,2.85,98.48903731685168,2.7,96.8846335870303,4.607,98.04825709639948
11.23,99.17335225930421,12.63,99.32545523453666,0.884,97.40190175617597,4.902,99.92756950704643,2.8789999999999996,98.75448189608353,2.269,95.75967180693037,4.703,97.85817045564478
12.36,98.63423003960513,13.19,99.80070612063098,0.8923,97.50749422308473,5.0760000000000005,99.2373675032763,3.042,98.53854626990683,3.22,88.23035973125965,4.605,97.65803451260156
13.22,99.19196210537248,13.84,99.66222509632144,0.868,99.81014512154215,5.395,99.40968422548659,3.07,99.99797427862629,4.157,88.53486507405196,5.088,99.7524931310112
12.78,99.1684688182946,13.57,99.5595983663935,0.8716,99.42452161330459,5.2620000000000005,99.83515572456399,3.0260000000000002,99.32906068326245,1.176,63.850340921730854,4.782,96.52057060940086
