Sepal Length Confidence,Sepal Width Confidence,Petal Length Confidence,Petal Width Confidence
98.4325521809538,97.80190097384659,94.1821674496674,91.93183108631735
95.76791918032588,89.94843901278382,81.3518354857309,71.90099830720624
98.88309368217499,98.78537630033746,93.48285899085077,89.50144358496792
95.01694009630943,98.72343353785176,91.78839925430053,58.815032664662034
98.2890682898564,93.39740782918217,95.94813719030307,69.97940394585915
99.68168815922576,90.83086927389057,98.28560775916242,99.40193030541741
93.51484889358873,93.41345377126473,94.71282965233387,99.46476028452
99.48639943189256,97.16076025322636,98.23685409334836,66.55271633910225
94.8376905555129,96.62939419151307,97.2165928718318,86.97003017969645
99.70362329846849,97.2285212559068,96.75752636064246,45.60201906413971
96.70628335631439,95.85149344718884,95.31469106760383,74.29040001354237
93.81695166957013,91.85603855590261,82.96751450346126,19.2211744514289
98.93510053939913,93.86677259754404,96.89528206391391,35.170870501068876
94.52172205754951,98.10933131247,98.02587297664473,87.8616600974053
89.74620171915164,99.15167915512163,61.08279528569505,39.05868930255296
97.68474910667267,87.3264801105835,91.82957931522994,87.12046277353626
94.41455545883593,96.86582652936359,66.98887168505856,47.989251688272915
97.32947794457752,99.42447683981042,83.8555987052289,72.0454459424551
94.27336004166398,96.52350797566362,90.06935176133187,94.52228042387438
97.42413844187605,90.02673305664482,95.3735521348548,87.54055999237706
95.70171502436845,99.15224732163928,96.1354135241226,55.99816410182961
99.81126021312555,93.99475706651991,90.64568734580317,78.62514965661774
95.62779522421457,93.18418349660318,94.88712380254474,66.85722581055857
96.73795742885862,96.45713635490158,79.67973919370262,65.64146981069969
89.37280845361622,86.66420032876772,69.86738063449368,38.50714683602116
96.69681245492987,91.84583282103885,91.61808794548817,86.00375012874328
99.68545495500504,98.77074488195007,89.83145398471852,79.87584633202628
97.90704716699821,97.85673008793835,96.36760364152805,76.14098852542183
95.28026417211748,97.53451804944989,84.31247208963781,86.11574177322439
94.34439422758375,95.69829558333174,86.54517706993374,31.585329405567574
97.90985318697855,99.25466739030038,95.18116050995955,53.537756546025776
90.98456400546279,92.35042446578072,63.0105403377204,45.69650894593036
93.45496568441716,82.15110726266118,67.93848738313295,25.975081754665965
99.6084569305162,87.2882367385934,94.11562120131501,53.914071967961604
99.70362329846849,97.2285212559068,96.75752636064246,45.60201906413971
93.62776610965028,91.25036411461619,66.34735815531604,31.656335255035305
