Sepal Length Confidence,Sepal Width Confidence,Petal Length Confidence,Petal Width Confidence
99.25681254065061,98.6899735555415,94.90432449704879,81.82164079231899
99.82427009291177,97.66178556740894,94.27321951308919,93.02308514968686
99.44690685661432,98.81796353840406,95.14738282216825,91.88069605839554
99.66996326382933,98.37198121926002,95.7962296298344,68.67404830449482
98.94023858916145,99.51765080288514,96.92571240418431,65.87485785468299
99.65364855680457,97.69479326473707,97.32229872397473,86.21109804406673
99.72728809539947,98.32755612839875,98.60193337828048,98.16256739874254
99.78836676976579,99.8434291701288,99.90523286129627,71.70227871988185
99.58025979611412,99.01698279894401,97.56928484105465,83.84323622750107
99.7895858226971,98.90824468799786,99.76906346765045,-21.636309285531
99.27101591564242,98.81571204861532,95.68930584345398,73.54116567922937
99.98359988426064,97.59547869648173,93.81950974294743,44.67488047038292
99.63652127118667,97.80547717982054,96.61470775450951,5.161476933830489
98.3146615140198,97.22387754447303,90.71138399640695,11.385677594301757
97.62346067724698,93.96159246178254,72.30928643212734,96.43275495486472
98.55421795121757,99.59168292963057,92.19833160107056,87.91040804821463
98.96837898442561,97.85382616004233,84.92673037919623,63.7748921893214
99.76125735010923,99.19266620374552,94.31613355956729,80.0552328629373
99.7690522436022,99.84503713635814,98.9942056366057,93.48070204707685
99.30644057392843,98.99603467285864,99.71224187901144,93.82097107939069
99.60264857938057,99.87986051136926,99.15197872195196,71.91260321967161
99.93275885477878,98.73135636093019,98.74810553071359,76.09431575004584
96.65209499114695,96.19984708939782,77.64474377399598,75.58887669585242
98.0394546352375,97.23008066793764,97.56916424653267,59.17762900838552
99.35794085838828,94.70801534402759,87.13906082450859,1.4897493316126553
99.2697585351693,99.39997879070496,99.88569204237486,87.04705460754269
98.92344974944633,97.75177205518784,97.6871207871449,72.77427803892506
99.63332936722384,99.30043855320743,97.62256275505948,76.8656114488994
99.48915943043166,97.66777432948129,92.48889197885345,96.29296798198358
99.58250309995697,97.53462832788252,93.56144074112731,54.21344723847854
99.36198881709818,98.54833568846504,95.70592634150137,68.55219252382196
99.25911345459852,98.5292999211434,92.23638459809251,53.88285542495359
97.40864323624186,99.89064438839311,99.5324501937572,-159.33970542452562
