Temperature,Temperature Confidence,Humidity,Humidity Confidence,Light,Light Confidence,CO2,CO2 Confidence,HumidityRatio,HumidityRatio Confidence,Occupancy
21.76,95.33354448911325,31.13333333,98.2764864437328,437.33333330000005,74.38076617495241,1029.666667,96.06892643089806,0.005021011,99.06817335797136,1
21.79,95.83928630372155,31.0,98.3917018965778,437.33333330000005,75.09753621463017,1000.0,96.12910847394159,0.005008581,99.13302663473841,1
21.7675,95.59617072645625,31.1225,98.41168766391976,434.0,74.83276533745564,1003.75,96.10675473487244,0.005021569,99.1597647886789,1
21.7675,95.58829052425722,31.1225,98.31686489383176,439.0,74.93569984730226,1009.5,96.11847192084198,0.005021569,99.09503698567087,1
21.79,95.3788950741335,31.13333333,98.51871472981398,437.33333330000005,75.1827774923132,1005.666667,96.14028909999286,0.005030298,99.24437884888683,1
21.76,95.17509626564666,31.26,98.42523628549861,437.33333330000005,74.89789455482352,1014.333333,96.11821918386264,0.005041605,99.19112894201484,1
21.79,94.97921805073379,31.1975,98.6232875903495,434.0,74.8646192489741,1018.5,96.11184946890756,0.005040749000000001,99.32899411957085,1
21.79,94.46625808678961,31.39333333,98.76133269937371,437.33333330000005,75.3153114700912,1018.666667,96.15931478000199,0.005072649,99.45839709372241,1
21.79,94.59059024189852,31.3175,98.73913595753385,434.0,74.98471142661003,1022.0,96.1264501938159,0.005060296,99.4303155222635,1
21.79,94.15516623596773,31.46333333,98.81931284481546,437.33333330000005,75.24723750172707,1027.333333,96.15535337119422,0.005084053,99.5115126510255,1
21.79,93.71757585690686,31.525,98.84765303813693,437.75,74.96140741143262,1047.75,96.134267678188,0.005094099,99.54403428895597,1
21.79,93.6200951311597,31.575,98.8252304662172,441.75,75.17216279524541,1049.0,96.15446509310411,0.005102244000000001,99.53698897918215,1
21.79,93.95892513729329,31.395,98.6266092791273,442.0,74.66365313140363,1061.5,96.10675029167311,0.005072920999999999,99.37008145874266,1
21.79,94.13029826183251,31.3925,98.64357624320729,441.75,74.8858377209064,1049.0,96.12383762762452,0.005072514,99.37991435004284,1
21.79,93.83876559074739,31.5,98.75645823404746,441.5,75.06392046643546,1048.0,96.14256933514746,0.005090026,99.4763921869296,1
21.815,93.54870179434418,31.5,98.99106290858616,438.0,75.15379073599821,1049.25,96.15025124225201,0.0050978690000000005,99.64864898270204,1
21.815,93.76265399014147,31.4725,98.75968574302823,449.5,75.52334564678023,1051.25,96.18436406654239,0.0050933820000000005,99.48344218914997,1
21.89,92.62947021413352,31.6,99.3998603182018,449.5,76.27614403224928,1060.5,96.25391960701977,0.005137857,99.97751224082903,1
21.79,93.66171185728732,31.55,98.6518084306731,449.5,75.23556652535424,1059.5,96.16144463216686,0.005098172,99.41350749056393,1
21.82333333,92.68091874476406,31.73,99.07963434965119,447.66666669999995,75.53608991267211,1072.0,96.19361184392218,0.005138035,99.75467150625157,1
21.865,92.3596302209838,31.7225,99.33143609053714,449.5,75.99704522355015,1072.333333,96.23343089178724,0.005150007,99.94339115361043,1
21.89,92.04305838844347,31.745,99.52554852366394,449.5,76.22457427502299,1075.333333,96.25388732103423,0.005161628,99.90858908871088,1
21.89,91.83125127955043,31.7675,99.53449962017983,449.5,76.04987686884567,1087.0,96.2405968151379,0.005165317,99.89710308180352,1
21.89,91.70370176223587,31.7675,99.74874771231191,437.75,75.73484396276862,1083.25,96.21557349169242,0.005165317,99.74748170820709,1
21.89,91.6775600201487,31.79,99.67922266192753,442.66666669999995,75.87422920222556,1086.333333,96.22711389707493,0.005169005999999999,99.79211602658671,1
21.89,91.53258832644896,31.79,99.77124681645903,437.33333330000005,75.63340332741103,1091.0,96.21058515452448,0.005169005999999999,99.72683060401977,1
21.89,91.17032671953696,31.89,99.83068059699762,439.0,75.70311316992735,1100.0,96.22165775816386,0.005185401,99.66746380905701,1
21.89,91.23543058291077,31.89,99.7390560047049,444.0,75.83434949778169,1101.0,96.23027730720527,0.005185401,99.73167732930114,1
21.89,91.22226748953422,31.865,99.70913265276822,444.0,75.69908564858557,1107.0,96.22020828675136,0.0051813020000000005,99.75582553101357,1
